9606.ENSP00000256637	9606.ENSP00000343706
9606.ENSP00000414321	9606.ENSP00000483484
9606.ENSP00000253237	9606.ENSP00000454836
9606.ENSP00000264864	9606.ENSP00000262039
9606.ENSP00000370625	9606.ENSP00000366828
9606.ENSP00000257934	9606.ENSP00000355922
9606.ENSP00000384952	9606.ENSP00000484903
9606.ENSP00000378736	9606.ENSP00000220913
9606.ENSP00000318861	9606.ENSP00000233468
9606.ENSP00000346027	9606.ENSP00000346015
9606.ENSP00000261396	9606.ENSP00000321706
9606.ENSP00000308541	9606.ENSP00000393887
9606.ENSP00000337850	9606.ENSP00000457168
9606.ENSP00000234420	9606.ENSP00000406046
9606.ENSP00000322396	9606.ENSP00000223073
9606.ENSP00000377492	9606.ENSP00000220514
9606.ENSP00000298307	9606.ENSP00000381282
9606.ENSP00000362936	9606.ENSP00000472998
9606.ENSP00000376167	9606.ENSP00000348054
9606.ENSP00000377944	9606.ENSP00000359688
9606.ENSP00000215794	9606.ENSP00000257570
9606.ENSP00000376732	9606.ENSP00000053468
9606.ENSP00000398824	9606.ENSP00000421491
9606.ENSP00000346725	9606.ENSP00000261637
9606.ENSP00000357979	9606.ENSP00000430432
9606.ENSP00000364320	9606.ENSP00000429374
9606.ENSP00000242261	9606.ENSP00000229307
9606.ENSP00000449328	9606.ENSP00000265245
9606.ENSP00000293883	9606.ENSP00000228799
9606.ENSP00000282276	9606.ENSP00000262027
9606.ENSP00000297151	9606.ENSP00000263694
9606.ENSP00000449884	9606.ENSP00000290208
9606.ENSP00000283195	9606.ENSP00000345895
9606.ENSP00000364893	9606.ENSP00000258341
9606.ENSP00000312981	9606.ENSP00000310723
9606.ENSP00000301021	9606.ENSP00000324318
9606.ENSP00000440402	9606.ENSP00000269214
9606.ENSP00000405726	9606.ENSP00000296509
9606.ENSP00000336868	9606.ENSP00000335463
9606.ENSP00000339145	9606.ENSP00000454836
9606.ENSP00000300413	9606.ENSP00000209873
9606.ENSP00000442053	9606.ENSP00000338862
9606.ENSP00000370288	9606.ENSP00000384564
9606.ENSP00000346067	9606.ENSP00000271764
9606.ENSP00000385958	9606.ENSP00000452909
9606.ENSP00000341189	9606.ENSP00000363571
9606.ENSP00000250448	9606.ENSP00000363822
9606.ENSP00000362018	9606.ENSP00000263753
9606.ENSP00000315791	9606.ENSP00000325377
9606.ENSP00000216252	9606.ENSP00000388638
9606.ENSP00000370508	9606.ENSP00000245539
9606.ENSP00000351644	9606.ENSP00000290846
9606.ENSP00000232424	9606.ENSP00000466121
9606.ENSP00000342676	9606.ENSP00000369682
9606.ENSP00000353770	9606.ENSP00000262105
9606.ENSP00000354665	9606.ENSP00000356972
9606.ENSP00000293695	9606.ENSP00000385480
9606.ENSP00000404375	9606.ENSP00000472469
9606.ENSP00000452454	9606.ENSP00000323967
9606.ENSP00000383376	9606.ENSP00000363921
9606.ENSP00000252486	9606.ENSP00000387654
9606.ENSP00000386559	9606.ENSP00000320084
9606.ENSP00000341885	9606.ENSP00000419117
9606.ENSP00000357297	9606.ENSP00000441543
9606.ENSP00000244537	9606.ENSP00000262189
9606.ENSP00000350491	9606.ENSP00000261881
9606.ENSP00000438144	9606.ENSP00000349142
9606.ENSP00000264498	9606.ENSP00000368678
9606.ENSP00000318977	9606.ENSP00000336701
9606.ENSP00000479216	9606.ENSP00000272638
9606.ENSP00000326981	9606.ENSP00000479504
9606.ENSP00000375978	9606.ENSP00000451974
9606.ENSP00000369461	9606.ENSP00000241052
9606.ENSP00000281474	9606.ENSP00000415056
9606.ENSP00000387006	9606.ENSP00000370460
9606.ENSP00000378350	9606.ENSP00000257934
9606.ENSP00000268802	9606.ENSP00000229214
9606.ENSP00000223324	9606.ENSP00000290208
9606.ENSP00000398131	9606.ENSP00000414321
9606.ENSP00000470972	9606.ENSP00000369757
9606.ENSP00000308815	9606.ENSP00000305651
9606.ENSP00000400591	9606.ENSP00000360497
9606.ENSP00000329419	9606.ENSP00000373312
9606.ENSP00000418960	9606.ENSP00000243326
9606.ENSP00000370695	9606.ENSP00000443204
9606.ENSP00000480987	9606.ENSP00000263274
9606.ENSP00000308897	9606.ENSP00000278572
9606.ENSP00000301788	9606.ENSP00000452454
9606.ENSP00000463393	9606.ENSP00000360183
9606.ENSP00000254803	9606.ENSP00000261015
9606.ENSP00000356953	9606.ENSP00000377446
9606.ENSP00000398632	9606.ENSP00000437940
9606.ENSP00000361206	9606.ENSP00000053468
9606.ENSP00000437256	9606.ENSP00000463058
9606.ENSP00000377969	9606.ENSP00000339992
9606.ENSP00000263274	9606.ENSP00000400806
9606.ENSP00000378721	9606.ENSP00000291574
9606.ENSP00000359988	9606.ENSP00000325905
9606.ENSP00000406012	9606.ENSP00000194214
9606.ENSP00000364683	9606.ENSP00000204604
9606.ENSP00000360412	9606.ENSP00000432119
9606.ENSP00000379144	9606.ENSP00000264515
9606.ENSP00000392094	9606.ENSP00000472998
9606.ENSP00000013807	9606.ENSP00000371475
9606.ENSP00000357823	9606.ENSP00000306548
9606.ENSP00000261183	9606.ENSP00000471191
9606.ENSP00000380054	9606.ENSP00000295321
9606.ENSP00000451818	9606.ENSP00000357998
9606.ENSP00000347836	9606.ENSP00000346437
9606.ENSP00000374455	9606.ENSP00000172229
9606.ENSP00000254101	9606.ENSP00000349205
9606.ENSP00000475027	9606.ENSP00000388337
9606.ENSP00000261708	9606.ENSP00000222567
9606.ENSP00000258742	9606.ENSP00000367623
9606.ENSP00000485663	9606.ENSP00000472985
9606.ENSP00000416429	9606.ENSP00000402338
9606.ENSP00000419395	9606.ENSP00000372959
9606.ENSP00000409666	9606.ENSP00000402527
9606.ENSP00000286398	9606.ENSP00000240423
9606.ENSP00000328977	9606.ENSP00000234170
9606.ENSP00000232003	9606.ENSP00000421725
9606.ENSP00000384952	9606.ENSP00000263629
9606.ENSP00000341044	9606.ENSP00000376303
9606.ENSP00000331849	9606.ENSP00000373404
9606.ENSP00000286788	9606.ENSP00000302886
9606.ENSP00000317985	9606.ENSP00000466363
